"copula","marginal","rho","d","rep","coverage","ci"
"frank","laplace",0.25,1,43,0.902555555555556,FALSE
"frank","laplace",0.25,1,44,0.903111111111111,FALSE
"frank","laplace",0.25,1,45,0.924333333333333,FALSE
"frank","laplace",0.25,1,46,0.923888888888889,FALSE
"frank","laplace",0.25,1,47,0.889222222222222,FALSE
"frank","laplace",0.25,1,48,0.904888888888889,FALSE
"frank","laplace",0.25,1,49,0.852444444444444,FALSE
"frank","laplace",0.25,1,50,0.879444444444444,FALSE
"frank","laplace",0.5,1,1,0.897111111111111,FALSE
"frank","laplace",0.5,1,2,0.898222222222222,FALSE
"frank","laplace",0.5,1,3,0.867666666666667,FALSE
"frank","laplace",0.5,1,4,0.895222222222222,FALSE
"frank","laplace",0.5,1,5,0.895777777777778,FALSE
"frank","laplace",0.5,1,6,0.912555555555556,FALSE
"frank","laplace",0.5,1,7,0.863111111111111,FALSE
"frank","laplace",0.5,1,8,0.920333333333333,FALSE
"frank","laplace",0.5,1,9,0.908333333333333,FALSE
"frank","laplace",0.5,1,10,0.921777777777778,FALSE
"frank","laplace",0.5,1,11,0.905111111111111,FALSE
"frank","laplace",0.5,1,12,0.897222222222222,FALSE
"frank","laplace",0.5,1,13,0.883444444444444,FALSE
"frank","laplace",0.5,1,14,0.863333333333333,FALSE
"frank","laplace",0.5,1,15,0.913222222222222,FALSE
"frank","laplace",0.5,1,16,0.886777777777778,FALSE
"frank","laplace",0.5,1,17,0.907666666666667,FALSE
"frank","laplace",0.5,1,18,0.919222222222222,FALSE
"frank","laplace",0.5,1,19,0.861111111111111,FALSE
"frank","laplace",0.5,1,20,0.896555555555556,FALSE
"frank","laplace",0.5,1,21,0.913888888888889,FALSE
"frank","laplace",0.5,1,22,0.917777777777778,FALSE
"frank","laplace",0.5,1,23,0.906888888888889,FALSE
"frank","laplace",0.5,1,24,0.874444444444444,FALSE
"frank","laplace",0.5,1,25,0.934111111111111,FALSE
"frank","laplace",0.5,1,26,0.931222222222222,FALSE
"frank","laplace",0.5,1,27,0.891444444444444,FALSE
"frank","laplace",0.5,1,28,0.902444444444444,FALSE
"frank","laplace",0.5,1,29,0.836222222222222,FALSE
"frank","laplace",0.5,1,30,0.907888888888889,FALSE
"frank","laplace",0.5,1,31,0.925444444444444,FALSE
"frank","laplace",0.5,1,32,0.880444444444444,FALSE
"frank","laplace",0.5,1,33,0.893333333333333,FALSE
"frank","laplace",0.5,1,34,0.913444444444444,FALSE
"frank","laplace",0.5,1,35,0.872111111111111,FALSE
"frank","laplace",0.5,1,36,0.937777777777778,FALSE
"frank","laplace",0.5,1,37,0.915666666666667,FALSE
"frank","laplace",0.5,1,38,0.879555555555556,FALSE
"frank","laplace",0.5,1,39,0.909777777777778,FALSE
"frank","laplace",0.5,1,40,0.923777777777778,FALSE
"frank","laplace",0.5,1,41,0.881111111111111,FALSE
"frank","laplace",0.5,1,42,0.819333333333333,FALSE
"frank","laplace",0.5,1,43,0.884222222222222,FALSE
"frank","laplace",0.5,1,44,0.902333333333333,FALSE
"frank","laplace",0.5,1,45,0.929333333333333,FALSE
"frank","laplace",0.5,1,46,0.901666666666667,FALSE
"frank","laplace",0.5,1,47,0.856555555555556,FALSE
"frank","laplace",0.5,1,48,0.919111111111111,FALSE
"frank","laplace",0.5,1,49,0.906222222222222,FALSE
"frank","laplace",0.5,1,50,0.902,FALSE
"frank","laplace",0.75,1,1,0.893666666666667,FALSE
"frank","laplace",0.75,1,2,0.894111111111111,FALSE
"frank","laplace",0.75,1,3,0.9,FALSE
"frank","laplace",0.75,1,4,0.877555555555556,FALSE
"frank","laplace",0.75,1,5,0.821333333333333,FALSE
"frank","laplace",0.75,1,6,0.871111111111111,FALSE
"frank","laplace",0.75,1,7,0.974333333333333,FALSE
"frank","laplace",0.75,1,8,0.949111111111111,FALSE
"frank","laplace",0.75,1,9,0.942,FALSE
"frank","laplace",0.75,1,10,0.922333333333333,FALSE
"frank","laplace",0.75,1,11,0.891444444444444,FALSE
"frank","laplace",0.75,1,12,0.919555555555556,FALSE
"frank","laplace",0.75,1,13,0.922111111111111,FALSE
"frank","laplace",0.75,1,14,0.917444444444444,FALSE
"frank","laplace",0.75,1,15,0.898777777777778,FALSE
"frank","laplace",0.75,1,16,0.930333333333333,FALSE
"frank","laplace",0.75,1,17,0.912777777777778,FALSE
"frank","laplace",0.75,1,18,0.890555555555556,FALSE
"frank","laplace",0.75,1,19,0.935555555555556,FALSE
"frank","laplace",0.75,1,20,0.879333333333333,FALSE
"frank","laplace",0.75,1,21,0.889555555555556,FALSE
"frank","laplace",0.75,1,22,0.908222222222222,FALSE
"frank","laplace",0.75,1,23,0.927333333333333,FALSE
"frank","laplace",0.75,1,24,0.912222222222222,FALSE
"frank","laplace",0.75,1,25,0.883,FALSE
"frank","laplace",0.75,1,26,0.893666666666667,FALSE
"frank","laplace",0.75,1,27,0.897,FALSE
"frank","laplace",0.75,1,28,0.948333333333333,FALSE
"frank","laplace",0.75,1,29,0.88,FALSE
"frank","laplace",0.75,1,30,0.913777777777778,FALSE
"frank","laplace",0.75,1,31,0.911666666666667,FALSE
"frank","laplace",0.75,1,32,0.927666666666667,FALSE
"frank","laplace",0.75,1,33,0.899777777777778,FALSE
"frank","laplace",0.75,1,34,0.885222222222222,FALSE
"frank","laplace",0.75,1,35,0.844888888888889,FALSE
"frank","laplace",0.75,1,36,0.893,FALSE
"frank","laplace",0.75,1,37,0.936,FALSE
"frank","laplace",0.75,1,38,0.863555555555556,FALSE
"frank","laplace",0.75,1,39,0.919666666666667,FALSE
"frank","laplace",0.75,1,40,0.919222222222222,FALSE
"frank","laplace",0.75,1,41,0.893777777777778,FALSE
"frank","laplace",0.75,1,42,0.903777777777778,FALSE
"frank","laplace",0.75,1,43,0.871555555555556,FALSE
"frank","laplace",0.75,1,44,0.936777777777778,FALSE
"frank","laplace",0.75,1,45,0.879666666666667,FALSE
"frank","laplace",0.75,1,46,0.908444444444444,FALSE
"frank","laplace",0.75,1,47,0.929444444444444,FALSE
"frank","laplace",0.75,1,48,0.912555555555556,FALSE
